route_id,n,WAPE_baseline,WAPE_ml,MAE_baseline,MAE_ml,WAPE_improvement_pp
DEN-IBZ,665.0,0.11007899647214557,0.08181690060230393,87.58216023974946,65.09598677785773,2.8262095869841644
DEN-FOR,665.0,0.11772023493344963,0.0934191147785623,84.15138057190069,66.77991668012805,2.4301120154887332
VAL-IBZ,508.0,0.14977173913814865,0.10508310838507848,83.3638934483196,58.4899200679749,4.468863075307016
DEN-PMI,508.0,0.15746015779585204,0.10979576123750535,108.98443642150816,75.99401224692036,4.766439655834668
